Listing ID,Host ID,Number of Listings Per Host,City,Latitude,Longitude,Listing Type,Price,Minimum Nights,Availability,Number of Reviews
2595,2845,2,New York City,40.75362,-73.98377,Entire home/apt,175,3,365,48
3831,4869,1,New York City,40.68514,-73.95976,Entire home/apt,76,1,272,349
5121,7356,1,New York City,40.68688,-73.95596,Private room,60,29,365,50
5136,7378,1,New York City,40.6612,-73.99423,Entire home/apt,175,7,352,1
5178,8967,1,New York City,40.76489,-73.98493,Private room,79,2,346,473
5238,7549,4,New York City,40.71344,-73.99037,Entire home/apt,140,1,288,161
5552,8380,1,New York City,40.73552,-74.01042,Entire home/apt,160,3,96,66
5803,9744,3,New York City,40.66829,-73.98779,Private room,86,4,365,180
6021,11528,1,New York City,40.79826,-73.96113,Private room,85,2,365,123
6990,16800,1,New York City,40.78962,-73.94802,Entire home/apt,239,4,365,233
7097,17571,2,New York City,40.69121,-73.97277,Entire home/apt,182,2,348,230
7750,17985,2,New York City,40.79685,-73.94872,Private room,96,14,178,0
7801,21207,1,New York City,40.71842,-73.95718,Entire home/apt,299,3,359,9
8490,25183,2,New York City,40.68371,-73.94028,Entire home/apt,120,2,331,115
8505,25326,2,New York City,40.65599,-73.97519,Private room,135,1,89,23
9657,21904,1,New York City,40.7292,-73.98542,Entire home/apt,175,3,90,33
9704,32045,1,New York City,40.81305,-73.95466,Private room,55,2,354,98
10452,35935,2,New York City,40.6831,-73.95473,Private room,70,3,365,75
10962,9744,3,New York City,40.66869,-73.9878,Private room,86,4,365,181
11943,45445,1,New York City,40.63702,-73.96327,Private room,150,1,365,0
12048,7549,4,New York City,40.71401,-73.98917,Shared room,40,1,249,219
12192,46978,2,New York City,40.7229,-73.98199,Private room,40,2,46,262
12343,47727,1,New York City,40.81175,-73.94478,Entire home/apt,150,7,364,107
12627,49670,1,New York City,40.65944,-73.96238,Entire home/apt,95,30,140,13
12937,50124,1,New York City,40.74771,-73.9474,Private room,130,2,246,280
12940,50148,1,New York City,40.68111,-73.95591,Entire home/apt,100,5,18,67
13050,50846,1,New York City,40.68554,-73.9409,Entire home/apt,120,3,160,12
13121,27848,6,New York City,40.67117,-73.76576,Private room,75,2,365,65
13267,51777,1,New York City,40.71751,-73.96286,Entire home/apt,245,180,365,35
13394,52335,1,New York City,40.69142,-73.97376,Private room,80,1,193,143
13677,53621,3,New York City,40.74395,-73.99451,Private room,150,2,365,69
13808,54275,3,New York City,40.68064,-73.94039,Private room,81,2,348,141
14290,56104,1,New York City,40.7042,-73.9356,Entire home/apt,153,3,171,97
14322,56284,1,New York City,40.73961,-73.98074,Entire home/apt,200,7,358,20
14991,59023,1,New York City,40.72004,-73.99104,Private room,110,5,365,19
15220,59734,2,New York City,40.75531,-73.99293,Private room,83,2,365,325
15341,60049,1,New York City,40.72297,-73.99684,Entire home/apt,150,7,90,25
15385,60252,1,New York City,40.71185,-73.96204,Private room,90,7,262,49
15396,60278,1,New York City,40.74623,-73.9953,Entire home/apt,375,14,145,5
15711,61491,2,New York City,40.77065,-73.95269,Entire home/apt,180,29,352,83
15962,62407,1,New York City,40.7236,-73.98466,Entire home/apt,130,3,88,58
16326,63588,2,New York City,40.67811,-73.96428,Entire home/apt,100,30,342,150
16338,63613,2,New York City,40.69,-73.96788,Private room,55,7,287,28
16580,64442,1,New York City,40.72649,-73.97904,Private room,65,2,165,407
16595,64522,1,New York City,40.70933,-73.96792,Entire home/apt,199,1,363,174
16821,4396,2,New York City,40.72298,-73.98474,Private room,79,1,365,119
16974,65837,1,New York City,40.80164,-73.93922,Entire home/apt,325,4,218,212
17037,66035,1,New York City,40.72162,-73.98008,Entire home/apt,250,5,177,53
